title,media,date,datetime,desc,link,img
"Wrestlers' protest: Vinesh Phogat alleges Sports Minister, WFI hushed up sexual harassment complaints - ESPN",ESPN,1 week ago,47:50.9,... and a five-member panel was formed to look into the allegations of sexual harassment against WFI chief Brij Bhushan Sharan Singh.,https://www.espn.com/wrestling/story/_/id/36956272/wrestlers-protest-vinesh-phogat-alleges-sports-minister-wfi-hushed-sexual-harassment-complaints,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Wrestlers' protest: 'Difficult to stand against power' Vinesh Phogat | Mint,Mint,1 week ago,47:50.9,"Amid the ongoing wrestlers' protest at Jantar Mantar Delhi against Wrestling Federation of India (WFI) chief and BJP MP Brij Bhushan Sharan Singh,...",https://www.livemint.com/news/india/wrestlers-protest-difficult-to-stand-against-power-vinesh-phogat-11683070718861.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Neither complainants nor Brij Bhushan Sharan Singh questioned yet, says Sakshi Malik",Tribune India,1 week ago,47:50.9,... get justice in the sexual harassment case against Wrestling Federation of India (WFI) chief Brij Bhushan Sharan Singh would be a long-drawn-out affair.,https://www.tribuneindia.com/news/sports/neither-complainants-nor-brij-bhushan-sharan-singh-questioned-yet-says-sakshi-malik-504278,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Daily briefing: What went wrong in Manipur; Brij Bhushan touched breast, stomach, wrestlers tell police; ‘The Kerala Story’ review and more",The Indian Express,6 days ago,48:01.9,"Daily briefing: What went wrong in Manipur; Brij Bhushan touched breast, ... against the federation's president and BJP MP Brij Bhushan Sharan Singh.",https://indianexpress.com/article/live-news/top-news-stories-today-may-6-2023-8594263/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"UP urban body polls: On BJP’s campaign trail, a missing Brij Bhushan",The Indian Express,1 week ago,48:01.9,... BJP's Kaiserganj MP and Wrestling Federation of India (WFI) president Brij Bhushan Sharan Singh has not campaigned for any party candidate in the Uttar...,https://indianexpress.com/article/political-pulse/up-urban-body-polls-bjp-campaign-trail-brij-bhushan-missing-8590348/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Wrestler's Protest: Wrestlers protesting against 'WFI Chief Brij Bhushan Sharan Singh' for 10 days | ABP News,ABP LIVE,1 week ago,48:01.9,"Wrestler's Protest: Wrestlers protesting against 'WFI Chief Brij Bhushan Sharan Singh' for 10 days. Published at: Tue, May 2,2023, 4:19 pm (IST). Advertisement.",https://news.abplive.com/videos/news/wrestler-s-protest-wrestlers-protesting-against-wfi-chief-brij-bhushan-sharan-singh-for-10-days-abp-news-1599314,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Nilanjan Mukhopadhyay | WFI mess: All that’s wrong as India sport, politics mix",The Asian Age,1 week ago,48:01.8,Brij Bhushan Sharan Singh epitomises everything that is wrong with India's politics and sports management. The ruling BJP's steadfast refusal to take prompt...,https://www.asianage.com/opinion/columnists/040523/nilanjan-mukhopadhyay-wfi-mess-all-thats-wrong-as-india-sport-politics-mix.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Sportswomen merit respect,Tribune India,1 week ago,48:01.8,"Brij Bhushan Sharan Singh, the BJP MP representing the constituency of Kaisarganj (Uttar Pradesh), is popular in his part of the country.",https://www.tribuneindia.com/news/comment/sportswomen-merit-respect-504820,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"‘They won’t miss training for no reason, something is going wrong and it needs to be stopped for good’",Times of India,1 week ago,48:01.8,"... Mantar against Wrestling Federation of Indian (WFI) president Brij Bhushan Sharan Singh, but more from the sporting fraternity spoke out on Thursday.",https://timesofindia.indiatimes.com/city/gurgaon/they-wont-miss-training-for-no-reason-something-is-going-wrong-and-it-needs-to-be-stopped-for-good/articleshow/99999547.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Why is Delhi Police Scared of Taking Action on Brij Bhushan?,NewsClick,1 week ago,48:01.8,"Bharatiya Janata Party (BJP) MP Brij Bhushan Sharan Singh is giving interviews to news channels. Two FIRs have been registered against him, but he has not...",https://www.newsclick.in/why-delhi-police-scared-taking-action-brij-bhushan,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Bajrang, Sakshi slam Usha, declare sexual harassment cannot be a political issue",The Hindu,1 week ago,48:01.8,"Asked about Brij Bhushan Sharan Singh's allegations of the protest being political, Bajrang retorted that it would have been one if there were any demands...",https://www.thehindu.com/sport/bajrang-sakshi-slam-usha-declare-sexual-harassment-cannot-be-a-political-issue/article66804834.ece,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Probing allegations against Brij Bhushan, in January, Govt had flagged the need for federations to comply with PoSH guidelines",The Indian Express,1 week ago,48:01.8,Brij Bhushan Sharan Singh at his residence BJP MP and Wrestling Federation of India (WFI) chief Brij Bhushan Sharan Singh outside his New Delhi residence.,https://indianexpress.com/article/sports/sport-others/probing-allegations-against-brij-bhushan-in-january-govt-had-flagged-the-need-for-federations-to-comply-with-posh-guidelines-8590515/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Does Brij Bhushan have plan B ready for himself?,Siasat.com,1 week ago,48:01.7,Does Brij Bhushan have plan B ready for himself? Wrestling Federation of India (WFI) president and BJP MP Brij Bhushan Sharan Singh. Lucknow: Even as the...,https://www.siasat.com/does-brij-bhushan-have-plan-b-ready-for-himself-2582469/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Competitions and camps should not be held in UP: Vinesh Phogat,The Indian Express,2 days ago,48:07.9,"... trails and competitions must be held outside Uttar Pradesh, the home state of Wrestling Federation of India (WFI) president Brijbhushan Sharan Singh,...",https://indianexpress.com/article/sports/sport-others/competitions-and-camps-should-not-be-held-in-up-vinesh-phogat-8600586/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Wrestlers' Protest | Govt-Appointed Panel Was Biased Towards BJP MP Singh: Complainants,The Wire,2 days ago,48:07.9,"... against Wrestling Federation of India chief and BJP MP, Brij Bhushan Singh, ... after the first round of protests by the wrestlers, against Singh.",https://thewire.in/rights/wrestlers-protest-brij-bhushan-singh-mary-kom-oversight-committee,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Competitions and camps should not be held in UP: Vinesh Phogat,The Indian Express,2 days ago,48:02.5,"... trails and competitions must be held outside Uttar Pradesh, the home state of Wrestling Federation of India (WFI) president Brijbhushan Sharan Singh,...",https://indianexpress.com/article/sports/sport-others/competitions-and-camps-should-not-be-held-in-up-vinesh-phogat-8600586/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Wrestlers' Protest | Govt-Appointed Panel Was Biased Towards BJP MP Singh: Complainants,The Wire,2 days ago,48:02.5,"... against Wrestling Federation of India chief and BJP MP, Brij Bhushan Singh, ... after the first round of protests by the wrestlers, against Singh.",https://thewire.in/rights/wrestlers-protest-brij-bhushan-singh-mary-kom-oversight-committee,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
